;Бренд;Артикул;Название;Символьный код;Изображение;Макс. мощность, кВА;Номин. мощность, кВА;Количество фаз;Тип;Объем бака, л;Электростартер;Двигатель;Альтернатор;Вес, кг;Габариты, см (ДхШхВ);Гарантия;"Дополнительная
информация";РРЦ;Описание
;Zongshen;1T90DF200; Zongshen KB 2500 генератор бензиновый;zongshen-kb-2500-generator-benzinovyj;kb_2500_1.JPG;2,2;2;одна;бензиновый;15;нет;"Zongshen
GB 210
(208 cc)";Zongshen;45;59 х 44 х 50;2 года;2 розетки (16A) + AVR + колеса для транспорт-ки в комплекте;21990;"Электрогенератор ZONGSHEN KB 2500 – бензиновый однофазный (1 фазный) генератор с максимальной мощностью 2,2 кВА. Силовым агрегатом данной модели является надежный четырехтактный двигатель ZONGSHEN GB 210. Рама выполнена из высококачественной стали, которая служит не только для защиты двигателя, но и для удобной транспортировки электростанции. Объем топливного бака составляет 15 литров, что дает примерно 14 часов непрерывной работы в зависимости от нагрузки. Уровень шума при работе генератора составляет всего порядка 70 дБ. Данная модель идеально подходит как для дома, так и для малого бизнеса. Оснащена транспортировочным комплектом с колесами и 2-мя розетками, имеет компактный размер (627х554х557 мм) и небольшой вес (45 кг).

Zongshen Industrial Group (Зонгшен Индастриал Групп) – один из самых крупных концернов в КНР – основан более 25 лет назад. Концерн состоит более чем из 50 предприятий (включая 2 собственных научно-исследовательских института) и развивается в производстве сразу нескольких групп техники: двигатели общего назначения, мотоциклы и квадроциклы, силовая продукция (генераторы и мотопомпы), мойки высокого давления, садовая техника (мотокультиваторы, мотоблоки, др.), подвесные лодочные моторы.

Благодаря высочайшему качеству продукции, непревзойденной надежности (вся техника, произведённая Zongshen Industrial Group, проходит как минимум 2 контрольные проверки на заводах), богатой функциональности и привлекательным ценам, продукция Zongshen (Зонгшен) завоевала доверие огромного числа потребителей не только в КНР, но и по всему миру.
Подтверждением вышесказанного является один неоспоримый факт: по объему реализации двигателей общего назначения концерн Zongshen по итогам первого полугодия 2017 года занял 3 место в мире, уступая лишь 2-м грандам: Briggs & Stratton (США) и Honda (Япония)."
;Zongshen;1T90DF330; Zongshen KB 3300 генератор бензиновый;zongshen-kb-3300-generator-benzinovyj;kb_3300_1.JPG;3;2,8;одна;бензиновый;15;нет;"Zongshen
GB 210
(208 cc)";Zongshen;50;59 х 44 х 50;2 года;"счетчик моточасов +
2 розетки (16A) + AVR + колеса для транспорт-ки в комплекте";24990;"Электрогенератор ZONGSHEN KB 3300 – бензиновый однофазный (1 фазный) генератор с максимальной мощностью 3 кВА. Силовым агрегатом данной модели является надежный четырехтактный двигатель ZONGSHEN GB210. Рама выполнена из высококачественной стали, которая служит не только для защиты двигателя, но и для удобной транспортировки электростанции. Объем топливного бака составляет 15 литров, что дает примерно 10 часов непрерывной работы в зависимости от нагрузки. Уровень шума при работе генератора составляет 74,5 дБ. Данная модель идеально подходит как для дома, так и для малого бизнеса. Оснащена транспортировочным комплектом с колесами, счетчиком мото-часов и 2-мя розетками, имеет размер (590х440х500 мм) и вес (50 кг). Гарантия составляет 2 года.
Zongshen Industrial Group (Зонгшен Индастриал Групп) – один из самых крупных концернов в КНР – основан более 25 лет назад. Концерн состоит более чем из 50 предприятий (включая 2 собственных научно-исследовательских института) и развивается в производстве сразу нескольких групп техники: двигатели общего назначения, мотоциклы и квадроциклы, силовая продукция (генераторы и мотопомпы), мойки высокого давления, садовая техника (мотокультиваторы, мотоблоки, др.), подвесные лодочные моторы.
Благодаря высочайшему качеству продукции, непревзойденной надежности (вся техника, произведённая Zongshen Industrial Group, проходит как минимум 2 контрольные проверки на заводах), богатой функциональности и привлекательным ценам, продукция Zongshen (Зонгшен) завоевала доверие огромного числа потребителей не только в КНР, но и по всему миру.
Подтверждением вышесказанного является один неоспоримый факт: по объему реализации двигателей общего назначения концерн Zongshen по итогам первого полугодия 2017 года занял 3 место в мире, уступая лишь 2-м грандам: Briggs & Stratton (США) и Honda (Япония)"
;Zongshen;1T90DF331; Zongshen KB 3300E генератор бензиновый;zongshen-kb-3300e-generator-benzinovyj;kb_3300_e_1.JPG;3;2,8;одна;бензиновый;15;есть;"Zongshen
GB 210 E
(208 cc)";Zongshen;55;59 х 44 х 50;2 года;"счетчик моточасов +
2 розетки (16A) + AVR + электростартер + колеса для транспорт-ки в комплекте";29990;"Электрогенератор ZONGSHEN KB 3300 E – бензиновый однофазный (1 фазный) генератор с максимальной мощностью 3 кВА. Силовым агрегатом данной модели является четырехтактный двигатель ZONGSHEN ZS170FE. Генератор оснащен электрическим запуском. Рама выполнена из высококачественной стали, которая служит не только для защиты двигателя, но и для удобной транспортировки электростанции. Объем топливного бака составляет 15 литров, что дает примерно 10 часов непрерывной работы в зависимости от нагрузки. Уровень шума при работе генератора составляет 76,5 дБ. Данная модель идеально подходит как для дома, так и для малого или среднего бизнеса. Оснащена транспортировочным комплектом с колесами, счетчиком мото-часов, электростартером и 2-мя розетками, имеет размер (590x440x500 мм) и вес (55 кг). Гарантия составляет 2 года.

Zongshen Industrial Group (Зонгшен Индастриал Групп) – один из самых крупных концернов в КНР – основан более 25 лет назад. Концерн состоит более чем из 50 предприятий (включая 2 собственных научно-исследовательских института) и развивается в производстве сразу нескольких групп техники: двигатели общего назначения, мотоциклы и квадроциклы, силовая продукция (генераторы и мотопомпы), мойки высокого давления, садовая техника (мотокультиваторы, мотоблоки, др.), подвесные лодочные моторы.

Благодаря высочайшему качеству продукции, непревзойденной надежности (вся техника, произведённая Zongshen Industrial Group, проходит как минимум 2 контрольные проверки на заводах), богатой функциональности и привлекательным ценам, продукция Zongshen (Зонгшен) завоевала доверие огромного числа потребителей не только в КНР, но и по всему миру.
Подтверждением вышесказанного является один неоспоримый факт: по объему реализации двигателей общего назначения концерн Zongshen по итогам первого полугодия 2017 года занял 3 место в мире, уступая лишь 2-м грандам: Briggs & Stratton (США) и Honda (Япония)."
;Zongshen;1T90DF500; Zongshen KB 5000 генератор бензиновый;zongshen-kb-5000-generator-benzinovyj;kb_5000_1.JPG;4,5;4;одна;бензиновый;32;нет;"Zongshen
GB 270
(272 cc)";Zongshen;70;70 х 53 х 59;2 года;"счетчик моточасов +
2 розетки (16A) + AVR + колеса для транспорт-ки в комплекте";35990;"Электрогенератор ZONGSHEN KB 5000 – бензиновый однофазный (1 фазный) генератор с максимальной мощностью 4,5 кВА. Силовым агрегатом данной модели является надежный четырехтактный двигатель ZONGSHEN GB 270. Рама выполнена из высококачественной стали, которая служит не только для защиты двигателя, но и для удобной транспортировки электростанции. Объем топливного бака составляет 32 литра, что дает примерно 14 часов непрерывной работы в зависимости от нагрузки. Уровень шума при работе генератора составляет 74,5 дБ. Данная модель идеально подходит как для дома, так и для малого бизнеса. Оснащена транспортировочным комплектом с колесами, счетчиком мото-часов и 2-мя розетками, имеет размер (742х673х669 мм) и вес (70 кг). Гарантия составляет 2 года.
Zongshen Industrial Group (Зонгшен Индастриал Групп) – один из самых крупных концернов в КНР – основан более 25 лет назад. Концерн состоит более чем из 50 предприятий (включая 2 собственных научно-исследовательских института) и развивается в производстве сразу нескольких групп техники: двигатели общего назначения, мотоциклы и квадроциклы, силовая продукция (генераторы и мотопомпы), мойки высокого давления, садовая техника (мотокультиваторы, мотоблоки, др.), подвесные лодочные моторы.
Благодаря высочайшему качеству продукции, непревзойденной надежности (вся техника, произведённая Zongshen Industrial Group, проходит как минимум 2 контрольные проверки на заводах), богатой функциональности и привлекательным ценам, продукция Zongshen (Зонгшен) завоевала доверие огромного числа потребителей не только в КНР, но и по всему миру.
Подтверждением вышесказанного является один неоспоримый факт: по объему реализации двигателей общего назначения концерн Zongshen по итогам первого полугодия 2017 года занял 3 место в мире, уступая лишь 2-м грандам: Briggs & Stratton (США) и Honda (Япония)"
;Zongshen;1T90DF501; Zongshen KB 5000 E генератор бензиновый;zongshen-kb-5000-e-generator-benzinovyj;kb_5000_e_1.JPG;4,5;4;одна;бензиновый;32;есть;"Zongshen
GB 270 E
(272 cc)";Zongshen;77;70 х 53 х 59;2 года;"счетчик моточасов +
2 розетки (16A) + AVR + электростартер + колеса для транспорт-ки в комплекте";40990;"Электрогенератор ZONGSHEN KB 5000 E – бензиновый однофазный (1 фазный) генератор с максимальной мощностью 4,5 кВА. Силовым агрегатом данной модели является четырехтактный двигатель ZONGSHEN ZS 182 F. Рама выполнена из высококачественной стали, которая служит не только для защиты двигателя, но и для удобной транспортировки электростанции. Объем топливного бака составляет 32 литра, что дает примерно 14 часов непрерывной работы в зависимости от нагрузки. Уровень шума при работе генератора составляет 74,5 дБ. Данная модель идеально подходит как для дома, так и для малого бизнеса. Оснащена транспортировочным комплектом с колесами, счетчиком мото-часов и 2-мя розетками, имеет размер (742x673x669 мм) и вес (77 кг). Отличие от модели KB 5000 в том, что в данной модели установлен электрический стартер для более комфортного и простого запуска. Гарантия составляет 2 года.

Zongshen Industrial Group (Зонгшен Индастриал Групп) – один из самых крупных концернов в КНР – основан более 25 лет назад. Концерн состоит более чем из 50 предприятий (включая 2 собственных научно-исследовательских института) и развивается в производстве сразу нескольких групп техники: двигатели общего назначения, мотоциклы и квадроциклы, силовая продукция (генераторы и мотопомпы), мойки высокого давления, садовая техника (мотокультиваторы, мотоблоки, др.), подвесные лодочные моторы.

Благодаря высочайшему качеству продукции, непревзойденной надежности (вся техника, произведённая Zongshen Industrial Group, проходит как минимум 2 контрольные проверки на заводах), богатой функциональности и привлекательным ценам, продукция Zongshen (Зонгшен) завоевала доверие огромного числа потребителей не только в КНР, но и по всему миру.
Подтверждением вышесказанного является один неоспоримый факт: по объему реализации двигателей общего назначения концерн Zongshen по итогам первого полугодия 2017 года занял 3 место в мире, уступая лишь 2-м грандам: Briggs & Stratton (США) и Honda (Япония)."
;Zongshen;1T90DF600; Zongshen KB 6000 генератор бензиновый;zongshen-kb-6000-generator-benzinovyj;kb_6000_1.JPG;5,5;5;одна;бензиновый;32;нет;"Zongshen
GB 420
(420 cc)";Zongshen;79;70 х 53 х 59;2 года;счетчик моточасов + розетка (16A) + силовая розетка (32А) +  AVR + колеса для транспорт-ки в комплекте;39990;"Электрогенератор ZONGSHEN KB 6000 – бензиновый однофазный (1 фазный) генератор с максимальной мощностью 5,5 кВА. Силовым агрегатом данной модели является четырехтактный двигатель ZONGSHEN GB 420. Рама выполнена из высококачественной стали, которая служит не только для защиты двигателя, но и для удобной транспортировки электростанции. Объем топливного бака составляет 32 литра, что дает примерно 13 часов непрерывной работы в зависимости от нагрузки. Уровень шума при работе генератора составляет 74,5 дБ. Данная модель идеально подходит как для дома, так и для малого или среднего бизнеса. Оснащена транспортировочным комплектом с колесами, счетчиком мото-часов и 2-мя розетками (одна из которых - силовая, т.е. на 32А), имеет размер (70х53х59) см и вес (79 кг). Гарантия составляет 2 года.

Zongshen Industrial Group (Зонгшен Индастриал Групп) – один из самых крупных концернов в КНР – основан более 25 лет назад. Концерн состоит более чем из 50 предприятий (включая 2 собственных научно-исследовательских института) и развивается в производстве сразу нескольких групп техники: двигатели общего назначения, мотоциклы и квадроциклы, силовая продукция (генераторы и мотопомпы), мойки высокого давления, садовая техника (мотокультиваторы, мотоблоки, др.), подвесные лодочные моторы.

Благодаря высочайшему качеству продукции, непревзойденной надежности (вся техника, произведённая Zongshen Industrial Group, проходит как минимум 2 контрольные проверки на заводах), богатой функциональности и привлекательным ценам, продукция Zongshen (Зонгшен) завоевала доверие огромного числа потребителей не только в КНР, но и по всему миру.
Подтверждением вышесказанного является один неоспоримый факт: по объему реализации двигателей общего назначения концерн Zongshen по итогам первого полугодия 2017 года занял 3 место в мире, уступая лишь 2-м грандам: Briggs & Stratton (США) и Honda (Япония)."
;Zongshen;1T90DF601; Zongshen KB 6000 E генератор бензиновый;zongshen-kb-6000-e-generator-benzinovyj;kb_6000_e_1.JPG;5,5;5;одна;бензиновый;32;есть;"Zongshen
GB 420 E
(420 cc)";Zongshen;87;70 х 53 х 59;2 года;счетчик моточасов +  розетка (16A) + силовая розетка (32А) + AVR + электростартер + колеса для транспорт-ки в комплекте;44990;"Электрогенератор ZONGSHEN KB 6000 E – бензиновый однофазный (1 фазный) генератор с максимальной мощностью 5,5 кВА. Силовым агрегатом данной модели является четырехтактный двигатель ZONGSHEN GB 420 E. Рама выполнена из высококачественной стали, которая служит не только для защиты двигателя, но и для удобной транспортировки электростанции. Объем топливного бака составляет 32 литра, что дает примерно 13 часов непрерывной работы в зависимости от нагрузки. Уровень шума при работе генератора составляет 74,5 дБ. Данная модель идеально подходит как для дома, так и для малого или среднего бизнеса. Оснащена транспортировочным комплектом с колесами, счетчиком мото-часов и 2-мя розетками (одна из которых - силовая, т.е. на 32А), имеет размер (70х53х59 см) и вес (87 кг). Отличие от модели KB 6000 в том, что в данной модели установлен электрический стартер для более комфортного и простого запуска. Гарантия составляет 2 года.

Zongshen Industrial Group (Зонгшен Индастриал Групп) – один из самых крупных концернов в КНР – основан более 25 лет назад. Концерн состоит более чем из 50 предприятий (включая 2 собственных научно-исследовательских института) и развивается в производстве сразу нескольких групп техники: двигатели общего назначения, мотоциклы и квадроциклы, силовая продукция (генераторы и мотопомпы), мойки высокого давления, садовая техника (мотокультиваторы, мотоблоки, др.), подвесные лодочные моторы.

Благодаря высочайшему качеству продукции, непревзойденной надежности (вся техника, произведённая Zongshen Industrial Group, проходит как минимум 2 контрольные проверки на заводах), богатой функциональности и привлекательным ценам, продукция Zongshen (Зонгшен) завоевала доверие огромного числа потребителей не только в КНР, но и по всему миру.
Подтверждением вышесказанного является один неоспоримый факт: по объему реализации двигателей общего назначения концерн Zongshen по итогам первого полугодия 2017 года занял 3 место в мире, уступая лишь 2-м грандам: Briggs & Stratton (США) и Honda (Япония)."
ID;Zongshen;1T90DF700; Zongshen KB 7000 генератор бензиновый;zongshen-kb-7000-generator-benzinovyj;kb_7000_1.JPG;6,5;6;одна;бензиновый;32;нет;"Zongshen
GB 420
(420 cc)";Zongshen;83;70 х 53 х 59;2 года;счетчик моточасов + розетка (16A) + силовая розетка (32А) + AVR + колеса для транспорт-ки в комплекте;44990;"Электрогенератор ZONGSHEN KB 7000 – бензиновый однофазный (1 фазный) генератор с максимальной мощностью 6,5 кВА. Силовым агрегатом данной модели является четырехтактный двигатель ZONGSHEN GB 420. Рама выполнена из высококачественной стали, которая служит не только для защиты двигателя, но и для удобной транспортировки электростанции. Объем топливного бака составляет 32 литра, что дает примерно 11 часов непрерывной работы в зависимости от нагрузки. Уровень шума при работе генератора составляет 76,5 дБ. Данная модель идеально подходит как для дома, так и для малого или среднего бизнеса. Оснащена транспортировочным комплектом с колесами, счетчиком мото-часов, электростартером и 2-мя розетками (одна из которых - силовая, т.е. на 32А), имеет размер (70х53х59 см) и вес (83 кг). Гарантия составляет 2 года.

Zongshen Industrial Group (Зонгшен Индастриал Групп) – один из самых крупных концернов в КНР – основан более 25 лет назад. Концерн состоит более чем из 50 предприятий (включая 2 собственных научно-исследовательских института) и развивается в производстве сразу нескольких групп техники: двигатели общего назначения, мотоциклы и квадроциклы, силовая продукция (генераторы и мотопомпы), мойки высокого давления, садовая техника (мотокультиваторы, мотоблоки, др.), подвесные лодочные моторы.

Благодаря высочайшему качеству продукции, непревзойденной надежности (вся техника, произведённая Zongshen Industrial Group, проходит как минимум 2 контрольные проверки на заводах), богатой функциональности и привлекательным ценам, продукция Zongshen (Зонгшен) завоевала доверие огромного числа потребителей не только в КНР, но и по всему миру.
Подтверждением вышесказанного является один неоспоримый факт: по объему реализации двигателей общего назначения концерн Zongshen по итогам первого полугодия 2017 года занял 3 место в мире, уступая лишь 2-м грандам: Briggs & Stratton (США) и Honda (Япония)."
6387;Zongshen;1T90DF704; Zongshen KB 7003 генератор бензиновый;zongshen-kb-7003-generator-benzinovyj;kb_7003_1.JPG;6,5;6;три;бензиновый;32;нет;"Zongshen
GB 420
(420 cc)";Zongshen;86;70 х 53 х 59;2 года;счетчик моточасов + розетка (16A) + силовая розетка (32А) + AVR + колеса для транспорт-ки в комплекте;48990;"Электрогенератор ZONGSHEN KB 7003– бензиновый трехфазный генератор с максимальной мощностью 6,5 кВА. Силовым агрегатом данной модели является четырехтактный двигатель ZONGSHEN GB 420. Рама выполнена из высококачественной стали, которая служит не только для защиты двигателя, но и для удобной транспортировки электростанции. Объем топливного бака составляет 32 литра, что дает примерно 11 часов непрерывной работы в зависимости от нагрузки. Уровень шума при работе генератора составляет 76,5 дБ. Данная модель идеально подходит как для дома, так и для малого или среднего бизнеса. Оснащена транспортировочным комплектом с колесами, счетчиком мото-часов, электростартером и 2-мя розетками (одна из которых - силовая, т.е. на 32А), имеет размер (700х530х590 мм) и вес (86 кг). Гарантия составляет 2 года.

Zongshen Industrial Group (Зонгшен Индастриал Групп) – один из самых крупных концернов в КНР – основан более 25 лет назад. Концерн состоит более чем из 50 предприятий (включая 2 собственных научно-исследовательских института) и развивается в производстве сразу нескольких групп техники: двигатели общего назначения, мотоциклы и квадроциклы, силовая продукция (генераторы и мотопомпы), мойки высокого давления, садовая техника (мотокультиваторы, мотоблоки, др.), подвесные лодочные моторы.

Благодаря высочайшему качеству продукции, непревзойденной надежности (вся техника, произведённая Zongshen Industrial Group, проходит как минимум 2 контрольные проверки на заводах), богатой функциональности и привлекательным ценам, продукция Zongshen (Зонгшен) завоевала доверие огромного числа потребителей не только в КНР, но и по всему миру.
Подтверждением вышесказанного является один неоспоримый факт: по объему реализации двигателей общего назначения концерн Zongshen по итогам первого полугодия 2017 года занял 3 место в мире, уступая лишь 2-м грандам: Briggs & Stratton (США) и Honda (Япония)."
6388;Zongshen;1T90DF703; Zongshen KB 7000 E генератор бензиновый;zongshen-kb-7000-e-generator-benzinovyj;kb_7000_e_1.JPG;6,5;6;одна;бензиновый;32;есть;"Zongshen
GB 420 E
(420 cc)";Zongshen;90;70 х 53 х 59;2 года;счетчик моточасов + розетка (16A) + силовая розетка (32А) + AVR + электростартер + колеса для транспорт-ки в комплекте;49990;"Электрогенератор ZONGSHEN KB 7000 E – бензиновый однофазный (1 фазный) генератор с максимальной мощностью 6,5 кВА. Силовым агрегатом данной модели является четырехтактный двигатель ZONGSHEN GB 420 E. Рама выполнена из высококачественной стали, которая служит не только для защиты двигателя, но и для удобной транспортировки электростанции. Объем топливного бака составляет 32 литра, что дает примерно 11 часов непрерывной работы в зависимости от нагрузки. Уровень шума при работе генератора составляет 76,5 дБ. Данная модель идеально подходит как для дома, так и для малого или среднего бизнеса. Оснащена транспортировочным комплектом с колесами, счетчиком мото-часов, электростартером и 2-мя розетками (одна из которых - силовая, т.е. на 32А), имеет размер (70х53х59 мм) и вес (90 кг). Гарантия составляет 2 года.

Zongshen Industrial Group (Зонгшен Индастриал Групп) – один из самых крупных концернов в КНР – основан более 25 лет назад. Концерн состоит более чем из 50 предприятий (включая 2 собственных научно-исследовательских института) и развивается в производстве сразу нескольких групп техники: двигатели общего назначения, мотоциклы и квадроциклы, силовая продукция (генераторы и мотопомпы), мойки высокого давления, садовая техника (мотокультиваторы, мотоблоки, др.), подвесные лодочные моторы.

Благодаря высочайшему качеству продукции, непревзойденной надежности (вся техника, произведённая Zongshen Industrial Group, проходит как минимум 2 контрольные проверки на заводах), богатой функциональности и привлекательным ценам, продукция Zongshen (Зонгшен) завоевала доверие огромного числа потребителей не только в КНР, но и по всему миру.
Подтверждением вышесказанного является один неоспоримый факт: по объему реализации двигателей общего назначения концерн Zongshen по итогам первого полугодия 2017 года занял 3 место в мире, уступая лишь 2-м грандам: Briggs & Stratton (США) и Honda (Япония)."
6389;Zongshen;1T90DF733; Zongshen KB 7003 E генератор бензиновый;zongshen-kb-7003-e-generator-benzinovyj;kb_7003_e_1.JPG;6,5;6;три;бензиновый;32;есть;"Zongshen
GB 420 E
(420 cc)";Zongshen;92;70 х 53 х 59;2 года;счетчик моточасов + розетка (16A) + силовая розетка (32А) + AVR + электростартер + колеса для транспорт-ки в комплекте;53990;"Электрогенератор ZONGSHEN KB 7003 E – бензиновый трехфазный генератор с максимальной мощностью 6,5 кВА. Силовым агрегатом данной модели является четырехтактный двигатель ZONGSHEN GB 420 E. Генератор оснащен электрическим запуском. Рама выполнена из высококачественной стали, которая служит не только для защиты двигателя, но и для удобной транспортировки электростанции. Объем топливного бака составляет 32 литра, что дает примерно 11 часов непрерывной работы в зависимости от нагрузки. Уровень шума при работе генератора составляет 76,5 дБ. Данная модель идеально подходит как для дома, так и для малого или среднего бизнеса. Оснащена транспортировочным комплектом с колесами, счетчиком мото-часов, электростартером и 2-мя розетками (одна из которых - силовая, т.е. на 32А), имеет размер (700х530х590 мм) и вес (92 кг). Гарантия составляет 2 года.

Zongshen Industrial Group (Зонгшен Индастриал Групп) – один из самых крупных концернов в КНР – основан более 25 лет назад. Концерн состоит более чем из 50 предприятий (включая 2 собственных научно-исследовательских института) и развивается в производстве сразу нескольких групп техники: двигатели общего назначения, мотоциклы и квадроциклы, силовая продукция (генераторы и мотопомпы), мойки высокого давления, садовая техника (мотокультиваторы, мотоблоки, др.), подвесные лодочные моторы.

Благодаря высочайшему качеству продукции, непревзойденной надежности (вся техника, произведённая Zongshen Industrial Group, проходит как минимум 2 контрольные проверки на заводах), богатой функциональности и привлекательным ценам, продукция Zongshen (Зонгшен) завоевала доверие огромного числа потребителей не только в КНР, но и по всему миру.
Подтверждением вышесказанного является один неоспоримый факт: по объему реализации двигателей общего назначения концерн Zongshen по итогам первого полугодия 2017 года занял 3 место в мире, уступая лишь 2-м грандам: Briggs & Stratton (США) и Honda (Япония)."
